item_id,weight,value,capacity
1,62,21,16082
2,74,52,16082
3,60,68,16082
4,86,2,16082
5,31,97,16082
6,99,24,16082
7,71,28,16082
8,39,53,16082
9,30,81,16082
10,20,9,16082
11,35,25,16082
12,6,34,16082
13,58,98,16082
14,45,27,16082
15,9,43,16082
16,40,71,16082
17,89,30,16082
18,39,35,16082
19,89,69,16082
20,7,56,16082
21,62,42,16082
22,24,65,16082
23,90,28,16082
24,68,16,16082
25,68,18,16082
26,92,77,16082
27,90,23,16082
28,37,21,16082
29,46,30,16082
30,60,50,16082
31,9,89,16082
32,33,15,16082
33,19,8,16082
34,42,95,16082
35,78,70,16082
36,66,48,16082
37,67,85,16082
38,58,70,16082
39,71,44,16082
40,52,92,16082
41,80,59,16082
42,62,26,16082
43,56,16,16082
44,96,98,16082
45,7,9,16082
46,32,68,16082
47,40,98,16082
48,78,18,16082
49,42,5,16082
50,44,51,16082
51,24,85,16082
52,75,83,16082
53,10,29,16082
54,14,1,16082
55,78,8,16082
56,96,34,16082
57,96,55,16082
58,59,20,16082
59,3,76,16082
60,36,36,16082
61,49,66,16082
62,68,10,16082
63,11,89,16082
64,51,31,16082
65,64,77,16082
66,41,78,16082
67,61,94,16082
68,15,39,16082
69,74,15,16082
70,38,40,16082
71,82,93,16082
72,70,36,16082
73,50,35,16082
74,33,17,16082
75,22,26,16082
76,31,73,16082
77,83,42,16082
78,34,6,16082
79,24,66,16082
80,86,18,16082
81,6,46,16082
82,29,55,16082
83,35,82,16082
84,64,64,16082
85,64,49,16082
86,37,10,16082
87,4,65,16082
88,45,43,16082
89,60,22,16082
90,10,72,16082
91,99,8,16082
92,66,59,16082
93,31,77,16082
94,30,82,16082
95,20,83,16082
96,89,33,16082
97,1,9,16082
98,38,92,16082
99,70,88,16082
100,8,38,16082
101,28,95,16082
102,9,71,16082
103,43,90,16082
104,66,13,16082
105,88,5,16082
106,78,93,16082
107,64,95,16082
108,69,14,16082
109,43,11,16082
110,46,91,16082
111,50,7,16082
112,28,3,16082
113,91,98,16082
114,97,40,16082
115,48,8,16082
116,26,26,16082
117,31,11,16082
118,80,81,16082
119,92,51,16082
120,60,47,16082
121,61,1,16082
122,82,68,16082
123,93,65,16082
124,17,96,16082
125,85,56,16082
126,13,85,16082
127,96,55,16082
128,39,53,16082
129,77,91,16082
130,37,48,16082
131,41,49,16082
132,47,65,16082
133,90,92,16082
134,28,29,16082
135,52,3,16082
136,68,96,16082
137,73,45,16082
138,45,54,16082
139,80,49,16082
140,81,49,16082
141,61,46,16082
142,43,2,16082
143,88,3,16082
144,1,32,16082
145,91,81,16082
146,54,28,16082
147,55,93,16082
148,74,53,16082
149,50,39,16082
150,34,58,16082
151,8,66,16082
152,44,65,16082
153,36,73,16082
154,34,30,16082
155,72,73,16082
156,99,84,16082
157,31,98,16082
158,7,47,16082
159,57,58,16082
160,21,30,16082
161,92,70,16082
162,42,90,16082
163,46,76,16082
164,39,72,16082
165,45,22,16082
166,15,98,16082
167,63,42,16082
168,5,53,16082
169,83,18,16082
170,96,8,16082
171,61,24,16082
172,43,13,16082
173,25,40,16082
174,82,72,16082
175,56,23,16082
176,14,77,16082
177,18,51,16082
178,20,23,16082
179,56,83,16082
180,53,82,16082
181,99,60,16082
182,64,73,16082
183,99,66,16082
184,42,56,16082
185,18,21,16082
186,1,82,16082
187,25,8,16082
188,61,69,16082
189,99,49,16082
190,26,88,16082
191,6,28,16082
192,90,38,16082
193,19,89,16082
194,92,59,16082
195,75,28,16082
196,74,72,16082
197,54,34,16082
198,31,79,16082
199,22,95,16082
200,6,45,16082
201,96,78,16082
202,93,55,16082
203,65,53,16082
204,52,31,16082
205,40,64,16082
206,12,38,16082
207,99,58,16082
208,71,37,16082
209,72,61,16082
210,75,12,16082
211,42,70,16082
212,48,80,16082
213,99,48,16082
214,50,69,16082
215,69,62,16082
216,50,12,16082
217,65,36,16082
218,77,81,16082
219,68,80,16082
220,99,96,16082
221,9,3,16082
222,15,95,16082
223,38,15,16082
224,67,69,16082
225,30,10,16082
226,80,94,16082
227,51,71,16082
228,90,16,16082
229,54,50,16082
230,81,12,16082
231,43,61,16082
232,76,81,16082
233,69,84,16082
234,53,19,16082
235,66,75,16082
236,71,87,16082
237,12,76,16082
238,25,49,16082
239,6,47,16082
240,11,51,16082
241,40,33,16082
242,51,38,16082
243,37,51,16082
244,72,39,16082
245,19,3,16082
246,96,27,16082
247,59,38,16082
248,22,22,16082
249,28,74,16082
250,12,85,16082
251,87,98,16082
252,59,37,16082
253,51,22,16082
254,37,60,16082
255,83,30,16082
256,73,54,16082
257,98,7,16082
258,68,32,16082
259,27,35,16082
260,9,76,16082
261,97,5,16082
262,94,92,16082
263,39,90,16082
264,78,48,16082
265,2,43,16082
266,34,72,16082
267,80,11,16082
268,14,92,16082
269,30,89,16082
270,35,41,16082
271,75,92,16082
272,61,23,16082
273,29,41,16082
274,23,59,16082
275,95,73,16082
276,62,40,16082
277,78,89,16082
278,34,1,16082
279,77,56,16082
280,77,89,16082
281,68,14,16082
282,22,64,16082
283,35,46,16082
284,14,56,16082
285,71,83,16082
286,19,76,16082
287,83,71,16082
288,52,7,16082
289,97,58,16082
290,63,30,16082
291,79,98,16082
292,10,5,16082
293,36,76,16082
294,80,85,16082
295,78,76,16082
296,99,29,16082
297,54,49,16082
298,46,46,16082
299,42,54,16082
300,65,34,16082
301,46,69,16082
302,40,40,16082
303,45,60,16082
304,80,24,16082
305,72,50,16082
306,60,26,16082
307,82,11,16082
308,34,6,16082
309,4,43,16082
310,21,29,16082
311,94,59,16082
312,80,23,16082
313,64,86,16082
314,83,62,16082
315,47,27,16082
316,11,73,16082
317,89,48,16082
318,23,94,16082
319,6,87,16082
320,37,3,16082
321,54,60,16082
322,52,95,16082
323,36,12,16082
324,22,54,16082
325,41,31,16082
326,58,67,16082
327,61,24,16082
328,63,32,16082
329,86,39,16082
330,51,28,16082
331,80,27,16082
332,75,57,16082
333,43,12,16082
334,84,39,16082
335,2,10,16082
336,30,83,16082
337,11,15,16082
338,43,21,16082
339,97,87,16082
340,10,20,16082
341,82,81,16082
342,31,68,16082
343,63,9,16082
344,44,65,16082
345,93,82,16082
346,78,68,16082
347,70,40,16082
348,8,59,16082
349,91,56,16082
350,38,64,16082
351,70,92,16082
352,96,12,16082
353,86,16,16082
354,35,5,16082
355,15,4,16082
356,58,36,16082
357,13,76,16082
358,22,50,16082
359,62,76,16082
360,79,60,16082
361,91,55,16082
362,29,53,16082
363,80,10,16082
364,82,92,16082
365,43,74,16082
366,16,1,16082
367,15,91,16082
368,86,81,16082
369,91,35,16082
370,85,76,16082
371,81,91,16082
372,27,23,16082
373,89,50,16082
374,73,97,16082
375,57,9,16082
376,79,17,16082
377,6,58,16082
378,80,54,16082
379,63,33,16082
380,84,84,16082
381,7,89,16082
382,87,37,16082
383,93,9,16082
384,52,99,16082
385,82,17,16082
386,99,18,16082
387,55,56,16082
388,86,71,16082
389,91,42,16082
390,5,90,16082
391,73,44,16082
392,28,72,16082
393,33,13,16082
394,38,61,16082
395,63,22,16082
396,75,61,16082
397,21,41,16082
398,60,18,16082
399,57,85,16082
400,66,37,16082
401,9,49,16082
402,12,44,16082
403,88,86,16082
404,64,7,16082
405,80,84,16082
406,53,19,16082
407,10,59,16082
408,52,25,16082
409,63,66,16082
410,45,10,16082
411,21,34,16082
412,99,23,16082
413,81,3,16082
414,10,94,16082
415,9,19,16082
416,30,94,16082
417,98,83,16082
418,67,74,16082
419,87,26,16082
420,90,57,16082
421,50,1,16082
422,21,71,16082
423,33,90,16082
424,84,10,16082
425,20,33,16082
426,95,26,16082
427,11,37,16082
428,44,26,16082
429,13,79,16082
430,86,30,16082
431,37,30,16082
432,61,29,16082
433,38,28,16082
434,53,69,16082
435,43,47,16082
436,42,97,16082
437,13,39,16082
438,15,58,16082
439,25,15,16082
440,40,72,16082
441,72,56,16082
442,1,91,16082
443,24,66,16082
444,42,12,16082
445,9,56,16082
446,93,13,16082
447,74,99,16082
448,28,68,16082
449,40,1,16082
450,4,7,16082
451,77,9,16082
452,61,78,16082
453,75,18,16082
454,12,6,16082
455,92,31,16082
456,19,47,16082
457,12,80,16082
458,71,79,16082
459,74,48,16082
460,32,24,16082
461,34,21,16082
462,37,39,16082
463,59,70,16082
464,10,55,16082
465,87,54,16082
466,1,45,16082
467,31,20,16082
468,89,79,16082
469,86,96,16082
470,19,28,16082
471,54,10,16082
472,8,31,16082
473,50,25,16082
474,17,38,16082
475,93,66,16082
476,71,13,16082
477,32,91,16082
478,76,75,16082
479,53,30,16082
480,7,60,16082
481,26,83,16082
482,40,48,16082
483,44,18,16082
484,7,30,16082
485,78,69,16082
486,83,88,16082
487,49,61,16082
488,79,60,16082
489,81,50,16082
490,16,25,16082
491,30,10,16082
492,39,11,16082
493,96,10,16082
494,20,54,16082
495,93,3,16082
496,28,39,16082
497,22,32,16082
498,53,2,16082
499,52,26,16082
500,73,50,16082
